Date,count
200901,14092413
200902,13380122
200903,14387371
200904,14294783
200905,14796313
200906,14184249
200907,13626103
200908,13686520
200909,13984887
200910,15604551
200911,14275339
200912,14583404
201001,14863762
201002,11145352
201003,12884322
201004,15144430
201005,15481288
201006,14825076
201007,14425263
201008,12528086
201009,13813190
201010,14199395
201011,13912282
201012,13819217
201101,13464996
201102,14202800
201103,16066350
201104,14718973
201105,15554868
201106,15097861
201107,14742561
201108,13262441
201109,14626748
201110,15707756
201111,14525862
201112,14925983
201201,14969132
201202,14983521
201203,16146923
201204,15477914
201205,15567525
201206,15096468
201207,14379307
201208,14381752
201209,14546854
201210,14522315
201211,13776030
201212,14696583
201301,14776615
201302,13990176
201303,15749228
201304,15100468
201305,15285049
201306,14385456
201307,13823840
201308,12597109
201309,14107693
201310,15004556
201311,14388451
201312,13971118
201401,13782492
201402,13063791
201403,15428127
201404,14618759
201405,14774041
201406,13813029
201407,13106365
201408,12688877
201409,13374016
201410,14232487
201411,13218216
201412,13014161
201501,12748986
201502,12450521
201503,13351609
201504,13071789
201505,13158262
201506,12324935